Accuracy,Precision,Recall,F1
0.9935430438944074,0.6966551326412919,0.3676202069385271,0.48127490039840637
0.9942621365482561,0.9637404580152672,0.30736457699330494,0.4660821412090448
0.9941480735755767,1.0,0.2818015824710895,0.439696106362773
0.9940141735641703,1.0,0.26536822884966527,0.41943241943241943
0.9937364550219944,1.0,0.23128423615337795,0.3756796836381611
0.9939348254092629,0.9976303317535545,0.256238587948874,0.40774818401937046
0.9940141735641703,1.0,0.26536822884966527,0.41943241943241943
0.9941629513546217,1.0,0.2836275106512477,0.4419155998103367
0.9942472587692109,1.0,0.29397443700547776,0.4543744120413923
0.9944803439742516,1.0,0.3225806451612903,0.4878048780487805
0.9946638365824749,1.0,0.3451004260499087,0.5131221719457013
0.9946043254662944,1.0,0.3377967133292757,0.5050045495905369
0.9944505884161612,1.0,0.3189287888009738,0.4836179049377019
0.9945150587920235,1.0,0.3268411442483262,0.4926605504587156
0.9948076551132446,1.0,0.36275106512477173,0.5323805270209915
0.9947035106599287,1.0,0.349969567863664,0.5184851217312895
0.9944158735983892,1.0,0.3146682897139379,0.4787037037037037
0.9944357106371161,1.0,0.3171028606208156,0.48151571164510165
0.9945200180517052,1.0,0.3274497869750457,0.49335167354424575
0.9945001810129784,1.0,0.32501521606816797,0.4905833716123105
